2026-01-26 15:17:26,476 - __main__ - INFO - Loaded data from data/sample_data.csv, shape: (1010, 8)
2026-01-26 15:17:26,478 - __main__ - INFO - Successfully loaded 1010 rows and 8 columns
2026-01-26 15:17:26,528 - __main__ - INFO - Profiled data: 1010 records, 8 columns
2026-01-26 15:18:09,552 - __main__ - INFO - Loaded data from data/sample_data.csv, shape: (1010, 8)
2026-01-26 15:18:09,554 - __main__ - INFO - Successfully loaded 1010 rows and 8 columns
2026-01-26 15:18:09,729 - __main__ - INFO - Profiled data: 1010 records, 8 columns
2026-01-26 23:06:50,328 - INFO - ACTION: DATA_LOADED | DETAILS: {"rows": 100, "cols": 14}
2026-01-26 23:06:50,539 - INFO - ACTION: DATA_CLEANED | DETAILS: {"missing_filled": 15, "duplicates_removed": 0, "outliers_capped": 0, "text_cleaned": 39, "imputed_columns": ["Units Sold (mean)", "Unit Price (mean)"], "date_corrections": {}}
2026-01-26 23:07:54,484 - INFO - ACTION: DATA_LOADED | DETAILS: {"rows": 14, "cols": 16}
2026-01-26 23:07:54,935 - INFO - ACTION: DATA_CLEANED | DETAILS: {"missing_filled": 19, "duplicates_removed": 0, "outliers_capped": 0, "text_cleaned": 2, "imputed_columns": ["duration (mean)", "num_voted_users (mean)", "Cast_Total_facebook_likes (mean)", "facenumber_in_poster (mean)", "ACTOR_2_facebook_likes (mean)", "title_year.1 (mean)"], "date_corrections": {}}
2026-01-27 17:16:12,204 - INFO - ACTION: DATA_LOADED | DETAILS: {"rows": 14, "cols": 16}
2026-01-27 17:16:13,765 - INFO - ACTION: DATA_CLEANED | DETAILS: {"missing_filled": 21, "duplicates_removed": 0, "outliers_capped": 1, "text_cleaned": 0, "imputed_columns": ["duration (mean)", "DIRECTOR_facebook_likes (mean)", "num_voted_users (mean)", "Cast_Total_facebook_likes (mean)", "facenumber_in_poster (mean)", "ACTOR_2_facebook_likes (mean)", "title_year.1 (mean)"], "date_corrections": {}}
2026-01-27 17:30:44,674 - INFO - ACTION: DATA_LOADED | DETAILS: {"rows": 14, "cols": 16}
2026-01-27 17:30:45,083 - INFO - ACTION: DATA_CLEANED | DETAILS: {"missing_filled": 21, "duplicates_removed": 0, "outliers_capped": 1, "text_cleaned": 0, "imputed_columns": ["duration (mean)", "DIRECTOR_facebook_likes (mean)", "num_voted_users (mean)", "Cast_Total_facebook_likes (mean)", "facenumber_in_poster (mean)", "ACTOR_2_facebook_likes (mean)", "title_year.1 (mean)"], "date_corrections": {}}
2026-01-27 17:34:00,457 - INFO - ACTION: DATA_LOADED | DETAILS: {"rows": 14, "cols": 16}
2026-01-27 17:34:00,734 - INFO - ACTION: DATA_CLEANED | DETAILS: {"missing_filled": 21, "duplicates_removed": 0, "outliers_capped": 1, "text_cleaned": 0, "imputed_columns": ["duration (mean)", "DIRECTOR_facebook_likes (mean)", "num_voted_users (mean)", "Cast_Total_facebook_likes (mean)", "facenumber_in_poster (mean)", "ACTOR_2_facebook_likes (mean)", "title_year.1 (mean)"], "date_corrections": {}}
2026-01-27 17:36:48,218 - INFO - ACTION: DATA_LOADED | DETAILS: {"rows": 14, "cols": 16}
2026-01-27 17:36:48,387 - INFO - ACTION: DATA_CLEANED | DETAILS: {"missing_filled": 21, "duplicates_removed": 0, "outliers_capped": 1, "text_cleaned": 0, "imputed_columns": ["duration (mean)", "DIRECTOR_facebook_likes (mean)", "num_voted_users (mean)", "Cast_Total_facebook_likes (mean)", "facenumber_in_poster (mean)", "ACTOR_2_facebook_likes (mean)", "title_year.1 (mean)"], "date_corrections": {}}
